pktsCount,avgPktRate,avgDelay,minDelay,maxDelay,roundTripTime
0.0,3.0994415283203125e-06,0.0,0.0,1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,4.5,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,-5.722045898881589e-06,-1.0,0.0,-17.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-24.0,0.0
0.0,-2.86102294921875e-06,-1.0,0.0,-152.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.4484109878540039,-32726.0,12.0,-65051.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-3.5,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-4.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,-2.86102294921875e-06,-1.0,0.0,-22.0,0.0
0.0,0.0,-2.0,0.0,-244.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-85.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-25.5,0.0
0.0,2.6464462279829348e-05,-4.0,0.0,-1018.5,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-2.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,4.7206878662109375e-05,-7.0,0.0,-1994.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-28.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,-2.86102294921875e-06,-12.0,0.0,-3119.5,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,5.960464477094973e-06,-0.5,0.0,-17.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-3.5,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,5.960464477094973e-06,-1.0,0.0,-25.5,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,0.00028514862060502466,-521.0,1.0,-9204.5,0.0
0.0,1.4781951904296875e-05,-1.0,0.0,-82.0,0.0
0.0,0.03255438804626465,-3766.0,1.0,-14539.0,0.0
0.0,5.2928924560546875e-05,-5.0,0.0,-1300.0,0.0
0.0,0.00010585784912109375,-14.0,0.0,-3455.0,0.0
0.0,0.00053191184997603,175.0,1.0,135.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-2.0,0.0
0.0,-5.722045898881589e-06,-1.0,0.0,-28.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,1.0,0.0,30.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,4.5,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,-5.722045898881589e-06,-1.0,0.0,-17.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-24.0,0.0
0.0,-2.86102294921875e-06,-2.0,0.0,-181.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,5.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
2.0,0.44859266281127974,-32790.0,-6.0,-65214.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-3.5,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,8.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-4.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,-2.86102294921875e-06,-1.0,0.0,-22.0,0.0
0.0,0.0,-2.0,0.0,-244.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-85.0,0.0
0.0,1.5497207641601562e-06,-1.0,0.0,-27.5,0.0
0.0,2.6464462279829348e-05,-4.0,0.0,-1018.5,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-2.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,4.7206878662109375e-05,-7.0,0.0,-1994.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,-1.0,0.0,-28.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,-2.86102294921875e-06,-12.0,0.0,-3119.5,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,5.960464477094973e-06,-0.5,0.0,-17.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-3.5,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,5.960464477094973e-06,-1.0,0.0,-25.5,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-1.0,0.0
0.0,0.00028514862060502466,-521.0,-1.0,-9204.5,0.0
0.0,1.4781951904296875e-05,-1.0,0.0,-82.0,0.0
0.0,0.03255438804626465,-3766.0,-1.0,-14539.0,0.0
0.0,5.2928924560546875e-05,-5.0,0.0,-1300.0,0.0
0.0,0.00010585784912109375,-14.0,0.0,-3455.0,0.0
0.0,0.0005333423614501953,174.0,-1.0,135.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-2.0,0.0
0.0,-5.722045898881589e-06,-1.0,0.0,-28.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,3.0994415283203125e-06,1.0,0.0,30.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,1.0,0.0
0.0,3.0994415283203125e-06,0.0,0.0,-1.0,0.0
0.0,1.5497207641601562e-06,0.0,0.0,-4.0,0.0
0.0,0.0,0.0,0.0,4.5,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,0.0,0.0,0.0,-1.0,0.0
0.0,-5.722045898881589e-06,-1.0,0.0,-17.0,0.0
